7zip 24.09-3
aalib 1.4rc5-18
abseil-cpp 20250127.1-1
acl 2.3.2-1
acpi 1.7-4
ada 3.2.1-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 48.0-1
adwaita-fonts 48.2-1
adwaita-icon-theme 48.0-1
adwaita-icon-theme-legacy 46.2-3
alacritty 0.15.1-1
alsa-lib 1.2.13-1
alsa-plugins 1:1.2.12-4
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.13-2
alsa-utils 1.2.13-2
amdvlk 2025.Q1.3-1
anki 23.12.1-1
aom 3.12.0-1
appstream 1.0.4-1
appstream-glib 0.8.3-2
archlinux-keyring 20250123-1
argon2 20190702-6
aria2 1.37.0-1
arpack 3.9.1-3
at-spi2-core 2.56.1-1
atkmm 2.28.4-1
attr 2.5.2-1
audit 4.0.3-1
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-3
babl 0.1.112-1
base 3-2
base-devel 1-2
bash 5.2.037-2
bc 1.08.1-1
bcprov 1.80-1
biber 1:2.20-1
binutils 2.44-1
bison 3.8.2-8
blas 3.12.1-2
bluez 5.80-2
bluez-libs 5.80-2
bluez-utils 5.80-2
boost 1.87.0-3
boost-libs 1.87.0-3
box2d 3.0.0-1
bridge-utils 1.7.1-2
brightnessctl 0.5.1-3
brotli 1.1.0-3
btrfs-progs 6.13-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.4-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.109-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
calibre 8.0.1-2
cantarell-fonts 1:0.303.1-2
capstone 5.0.5-1
cbindgen 0.28.0-1
cblas 3.12.1-2
cdparanoia 10.2-9
chmlib 0.40-8
chromium 134.0.6998.165-1
clang 19.1.7-1
clinfo 3.0.23.01.25-1
clucene 2.3.3.4-16
cmake 4.0.0-1
cmus 2.12.0-2
compiler-rt 19.1.7-1
composefs 1.0.7-1
confuse 3.3-4
containerd 2.0.4-1
coreutils 9.6-4
cozette-otb 1.23.2-1
cppdap 1.58.0-2
cronie 1.7.2-1
cryptsetup 2.7.5-2
cups 2:2.4.11-2
cups-filters 2.0.1-2
curl 8.12.1-1
dash 0.5.12-1
dav1d 1.5.1-1
db 6.2.32-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 36-4
dbus-broker-units 36-4
dconf 0.40.0-3
debugedit 5.1-1
debuginfod 0.192-4
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.31-1
diffutils 3.11-2
djvulibre 3.5.28-6
dmenu 5.3-3
dnssec-anchors 20190629-4
docker 1:28.0.4-1
dosfstools 4.2-5
dotnet-host 9.0.3.sdk104-1
dotnet-runtime 9.0.3.sdk104-1
dotnet-runtime-6.0 6.0.36.sdk136-2
dotnet-runtime-8.0 8.0.14.sdk114-1
dotnet-sdk 9.0.3.sdk104-1
dotnet-targeting-pack 9.0.3.sdk104-1
double-conversion 3.3.1-1
downgrade 11.4.3-1
dtc 1.7.2-3
duktape 2.7.0-7
dump_syms 2.3.4-1
dunst 1.12.2-1
dust 1.1.2-1
dvisvgm 3.4.4-1
e2fsprogs 1.47.2-1
ed 1.21.1-1
edk2-aarch64 202411-1
edk2-arm 202411-1
edk2-ovmf 202411-1
efibootmgr 18-3
efivar 39-1
elan-lean 3.1.0-1
elan-lean-debug 3.1.0-1
electron 1:34-1
electron25 25.9.8-1
electron34 34.3.2-1
emacs 30.1-4
enchant 2.8.2-2
exiv2 0.28.5-1
exo 4.20.0-2
